row_id,business_title,business_type,address,phone,website,menu_url,latitude,longitude
1,Miss Thelma's,Restaurant,"140 Fairfield Ave 1, Bridgeport, CT 06604",(203) 337-9957,http://www.missthelmas.com/,https://locu.com/places/miss-thelmas-bridgeport-us/,41.17910767,-73.19010925
2,Shandals Vegetarian Cafe,Restaurant,"520 Capitol Ave, Bridgeport, CT 06606",(203) 331-9777,http://www.happycow.net/reviews.php?id=13288,https://www.zomato.com/fairfield-county/shandals-vegetarian-cafe-bridgeport/menu,41.19669342,-73.20059204
3,SURF VS TURF,Restaurant,"2043 FAIRFIELD Ave, BRIDGEPORT, CT 06605",(203) 923-2019,https://ordersurfvsturfct.com/?utm_source=bing&utm_medium=websiteurl&utm_campaign=search,https://OrderSurfVsTurfCT.com/?utm_source=bing&utm_medium=menuurl&utm_campaign=search,41.16602325,-73.21772003
4,Ten20CT,Restaurant,"1450 Barnum Ave, Bridgeport, CT 06610",(203) 549-8029,https://www.ten20-ct.com/,,41.1870842,-73.163414
5,Trap Chicken LLC,Restaurant,"1725 Barnum Ave, Bridgeport, CT 06610",,https://www.facebook.com/trapchicken/,,41.18888855,-73.15823364
7,Perfect Poundcakes,Restaurant,"221 Burnside Ave, East Hartford, CT 06108",(860) 834-2229,https://perfectpoundcakes.org/,https://places.singleplatform.com/perfect-poundcakes-at-burnside-fish-market/menu?ref=Microsoft,41.775463099999996,-72.62997437
8,Sidibe African Resaurant - Nhyira,Restaurant,"242 Burnside Ave, East Hartford, CT 06108",(860) 216-6780,https://www.facebook.com/sidibeafricanresaurant/,,41.77562714,-72.62866974
9,Sun Splash Jamaican Restaurant,Restaurant,"692 Maple Ave, Hartford, CT 06114",(860) 548-3050,https://www.sunsplashbarandgrill.com/,https://www.sunsplashbarandgrill.com/menus,41.74131775,-72.6832962
10,Bomb Wings & Rice Bar,Restaurant,"2373 Whitney Ave, Hamden, CT 06518",(203) 745-5510,http://www.toobomb.com/,https://www.toobomb.com/menu,41.38375473,-72.90151978
11,Berkins Blend Cafe,Coffee Shop,"1003 Hebron Ave, Glastonbury, CT 06033",(860) 430-5866,http://berkinsblendcafe.com/,https://berkinsblendcafe.com/menu,41.71707153,-72.57461548
